#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,qalculate-gtk,"calculator"
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,i3-gaps,"i3 window manager"
,libnotify,"allows desktop notifications."
,powerline,"utilites for powerline fonts"
,powerline-fonts,"awesome gliphs from powerline"
,nginx,"web server, reverse proxy"
,cronie,"Daemon that runs specified programs at scheduled times and related tools"
,dunst,"is a suckless notification system."
,lua,"lightweight programming language"
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,net-tools,"various network tools"
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,firefox,"we browser"
,newsboat,"is a terminal RSS client."
,brave-browser,"is an elegant web 3.0 browser with built-in adblocking, tor and other features."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pipewire,"is the audio system."
,most,"A terminal pager similar to 'more' and 'less'"
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
,maim,"can take quick screenshots at your request."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
,tmux,"terminal multiplexer"
,jrnl,"journaling on the command line"
,ripgrep,"better grep"
,alacritty,"GPU accelerated terminal emulator"
,ruby,"dynamic, interpreted programming language with a focus on simplicity"
,termite,"terminal emulator"
,steghide,"embeds a msg in a file by replacing least sign bits"
,stegsolve,"steganographic image analyzer, solver and data extractor"
,rofi,"window switcher & application launcher"
,eww,"wm independent widget system"
,xorg-xsetroot,"utility to set your root window background to a given pattern or color"
,bashtop,"monitoring tool"
,rsync,"file copying tool for remote and local files"
,htop,"interactive process viewer"
,openvpn,"robust and highly-configurable VPN"
,task,"task management system"
,npm,"node package manager"
,nodejs,""
,lazygit,"terminal UI for git"
,dnsutils,"some networking tools (e.g dig)"
,conky,"system monitoring utility"
A,nerd-fonts-complete,"nerd fonts"
A,ttf-font-awesome,"for icons"
A,sc-im,"a spreadsheet program based on SC"
A,glow,"render markdown in the terminal"
A,proggyfonts,"main font used"
A,proggyfonts,"main font used"
A,siji-git,"conic bitmap font based on the Stlarch font with additional glyphs."
A,betterlockscreen,"A simple, minimal lockscreen"
A,neo4j-community,"a fully transactional graph database implemented in Java"
A,obsidian,"a note-taking program focused on linked thinking & graphs"
A,zotero,"collect, organize, cite & share your reseach sources"
A,buku,"bookmark manager & personal mini web in text"
A,lf-git,"is an extensive terminal file manager that everyone likes."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
A,abook,"is an offline addressbook usable by neomutt."
G,https://github.com/vlagh3/chadwm.git,"is the window manager."
R,colorls,"beutify the ls cmd"
