#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,bc,"is used for a dropdown calculator."
,xorg-xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,i3-gaps,"i3 window manager"
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pipewire,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
,maim,"can take quick screenshots at your request."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,firefox,"we browser"
,zathura,"is a pdf viewer with vim-like bindings."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
,ruby,"dynamic, interpreted programming language with a focus on simplicity"
,ripgrep,"better grep"
,node,"nodejs"
,alacritty,"terminal emulator"
A,picom-ibhagwan-git,"X compositor fork with dual_kawasee blur & rounded corners"
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,lf-git,"is an extensive terminal file manager that everyone likes."
A,htop-vim-git,"is a graphical and colorful system monitor."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
A,nerd-fonts-complete,"main fonts used"
A,betterlockscreen,"A simple, minimal lockscreen"
G,https://github.com/vlagh3/chadwm.git,"is the window manager."
R,colorls,"beutify the ls cmd"
